index_type: FLAT
step_id	full_tput	full_recall	sampled_tput	sampled_recall	full_over_sampled_tput
1	11.3188	0.9992	35.9277	0.9992	0.315043
7	10.5323	0.9992	31.8172	0.9992	0.331026
13	11.4098	0.9992	31.029	0.9992	0.367715

index_type: HNSW
step_id	full_tput	full_recall	sampled_tput	sampled_recall	full_over_sampled_tput
59	720.644	0.2282	524.387	0.2218	1.37426
28	701.634	0.478	671.851	0.4722	1.04433
60	378.072	0.8142	601.531	0.7976	0.628516
58	337.438	0.8856	571.087	0.867	0.590869
48	317.951	0.89	470.283	0.8756	0.676084
45	16.4679	0.9802	53.9065	0.9828	0.305491
24	14.8758	0.982	43.4542	0.9838	0.342334
5	44.4101	0.999	168.999	0.9984	0.262784
52	49.0208	0.9986	147.219	0.9986	0.332979
51	37.3164	0.9984	124.898	0.9986	0.298774
54	23.9011	0.9966	116.433	0.9986	0.205278
12	45.8619	0.9986	160.437	0.9988	0.285856
19	29.474	0.9992	107.38	0.9988	0.274484
20	41.0405	0.9984	161.838	0.9988	0.25359
25	37.3548	0.999	122.504	0.9988	0.304927
29	38.3001	0.9984	163.408	0.9988	0.234384
33	48.3882	0.9988	146.558	0.9988	0.330164
43	46.8476	0.9986	163.377	0.9988	0.286745
49	47.6801	0.999	166.958	0.9988	0.285582
55	40.2171	0.9986	173.921	0.9988	0.231238
57	44.653	0.9986	157.163	0.9988	0.284119
32	10.2043	0.9992	39.0495	0.999	0.261317
37	45.6593	0.9986	156.701	0.999	0.291379
46	46.0565	0.998	164.28	0.999	0.280354
11	10.3332	0.9992	48.3443	0.9992	0.213742
36	28.2827	0.9992	106.054	0.9992	0.266681
39	10.3551	0.9992	32.3699	0.9992	0.319898
40	33.747	0.9986	176.239	0.9992	0.191484
42	9.36509	0.999	36.2197	0.9992	0.258564
50	19.2937	0.9992	60.4671	0.9992	0.319077
53	46.6981	0.9982	158.461	0.9992	0.294698
56	10.6225	0.9992	42.3312	0.9992	0.250938

index_type: IVF_FLAT
step_id	full_tput	full_recall	sampled_tput	sampled_recall	full_over_sampled_tput
21	289.385	0.2866	565.561	0.2768	0.511678
2	38.774	0.9966	156.762	0.9958	0.247343
8	9.12993	0.9992	33.0832	0.9992	0.275968
14	10.0758	0.9992	40.3972	0.9992	0.249417
16	10.4817	0.9992	33.9011	0.9992	0.309184

index_type: IVF_PQ
step_id	full_tput	full_recall	sampled_tput	sampled_recall	full_over_sampled_tput
27	283.387	0.0248	582.574	0.0404	0.486438
31	294.279	0.0404	793.808	0.0542	0.370719
41	468.347	0.0604	571.997	0.0862	0.818793
10	271.732	0.0718	590.772	0.0944	0.45996
23	665.854	0.0836	465.456	0.1104	1.43054
35	283.164	0.2276	479.635	0.2288	0.590373
47	261.477	0.2642	600.843	0.2548	0.435183
44	13.7024	0.4874	51.7003	0.5298	0.265035
4	87.6968	0.5462	218.9	0.5806	0.400625
18	13.7469	0.5514	48.8349	0.5806	0.281497
38	11.6384	0.5484	40.1968	0.5866	0.289536

index_type: IVF_SQ8
step_id	full_tput	full_recall	sampled_tput	sampled_recall	full_over_sampled_tput
22	352.904	0.2982	542.61	0.2754	0.650382
30	352.956	0.2824	533.854	0.2764	0.661146
34	364.733	0.2868	554.977	0.2824	0.657204
17	363.498	0.2976	467.479	0.2854	0.777571
26	133.066	0.9776	393.193	0.9782	0.338423
3	142.342	0.978	327.445	0.979	0.434705
9	49.9147	0.9788	154.647	0.98	0.322766
15	39.2274	0.9792	139.073	0.9824	0.282063

index_type: SCANN
step_id	full_tput	full_recall	sampled_tput	sampled_recall	full_over_sampled_tput
6	171.779	0.9948	391.767	0.995	0.438473
