[1] 574 {index_type: FLAT, nlist: 128, nprobe: 8, m: 8, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 512, dataCoord*segment*sealProportion: 0.23, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 5000, dataNode*segment*insertBufSize: 16777216, rootCoord*minSegmentSizeToEnableIndex: 1024} 276.6020273733884 287.7731922455132 268.73016430437565 37.21204884418393 0.99985 574
[2] 982 {index_type: IVF_FLAT, nlist: 128, nprobe: 8, m: 8, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 512, dataCoord*segment*sealProportion: 0.23, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 5000, dataNode*segment*insertBufSize: 16777216, rootCoord*minSegmentSizeToEnableIndex: 1024} 267.87327471375465 360.51959099434316 27.29177413135767 366.4107709476539 0.9721400000000001 407
[3] 1328 {index_type: IVF_SQ8, nlist: 128, nprobe: 8, m: 8, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 512, dataCoord*segment*sealProportion: 0.23, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 5000, dataNode*segment*insertBufSize: 16777216, rootCoord*minSegmentSizeToEnableIndex: 1024} 265.84391980804503 311.8414652235806 14.171858174726367 705.6237704829474 0.94091 345
[4] 1753 {index_type: IVF_PQ, nlist: 128, nprobe: 8, m: 8, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 512, dataCoord*segment*sealProportion: 0.23, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 5000, dataNode*segment*insertBufSize: 16777216, rootCoord*minSegmentSizeToEnableIndex: 1024} 272.93719271197915 396.2755080163479 9.333391100168228 1071.421940072752 0.09002 425
[5] 2545 {index_type: HNSW, nlist: 128, nprobe: 8, m: 8, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 512, dataCoord*segment*sealProportion: 0.23, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 5000, dataNode*segment*insertBufSize: 16777216, rootCoord*minSegmentSizeToEnableIndex: 1024} 272.71643804199994 762.154752003029 11.344571962952614 881.4788281705547 0.99971 792
[6] 2965 {index_type: SCANN, nlist: 128, nprobe: 8, m: 8, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 512, dataCoord*segment*sealProportion: 0.23, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 5000, dataNode*segment*insertBufSize: 16777216, rootCoord*minSegmentSizeToEnableIndex: 1024} 270.51254003308713 391.94241779483855 8.006651043891907 1248.961637666072 0.97064 419
[7] 3625 {index_type: AUTOINDEX, nlist: 128, nprobe: 8, m: 8, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 512, dataCoord*segment*sealProportion: 0.23, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 5000, dataNode*segment*insertBufSize: 16777216, rootCoord*minSegmentSizeToEnableIndex: 1024} 267.75238411687315 625.7917208541185 14.41141283325851 693.8944929064903 0.88697 660
[8] 4288 {index_type: FLAT, nlist: 128, nprobe: 7, m: 6, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 9905, dataCoord*segment*sealProportion: 0.76, queryCoord*autoHandoff: True, queryCoord*autoBalance: False, common*gracefulTime: 88183, dataNode*segment*insertBufSize: 7526631602, rootCoord*minSegmentSizeToEnableIndex: 7839} 269.0382953621447 343.2026166897267 299.58401283062994 33.37961830978447 0.99984 663
[9] 4888 {index_type: IVF_FLAT, nlist: 230, nprobe: 12, m: 6, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 125, dataCoord*segment*sealProportion: 0.03, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 816, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 128} 280.91472312808037 560.9507832601666 19.062956558540463 524.5775999798868 0.97965 600
[10] 5768 {index_type: IVF_SQ8, nlist: 1350, nprobe: 63, m: 6, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 100, dataCoord*segment*sealProportion: 0.01, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 100, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 100} 289.65027793869376 643.8333875909448 215.7738941255957 46.34480941507823 0.9634299999999999 879
[11] 6861 {index_type: IVF_PQ, nlist: 1, nprobe: 1, m: 8, nbits: 7, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 100, dataCoord*segment*sealProportion: 0.01, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 100, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 100} 296.8892452083528 785.878133546561 283.65186522156 35.254483492252085 0.05393 1093
[12] 7743 {index_type: HNSW, nlist: 128, nprobe: 7, m: 6, nbits: 8, M: 33, efConstruction: 250, ef: 552, reorder_k: 500} {dataCoord*segment*maxSize: 866, dataCoord*segment*sealProportion: 0.44, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 18596, dataNode*segment*insertBufSize: 520562583, rootCoord*minSegmentSizeToEnableIndex: 2706} 275.73615171201527 848.7950574737042 10.977710800245404 910.9367318891706 0.9996599999999999 881
[13] 8204 {index_type: SCANN, nlist: 878, nprobe: 18, m: 6, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 499} {dataCoord*segment*maxSize: 528, dataCoord*segment*sealProportion: 0.36, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 15527, dataNode*segment*insertBufSize: 411626388, rootCoord*minSegmentSizeToEnableIndex: 1609} 276.50365481339395 430.92741086892784 7.321331372484565 1365.8717917867448 0.96773 461
[14] 8898 {index_type: AUTOINDEX, nlist: 128, nprobe: 7, m: 6, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 1477, dataCoord*segment*sealProportion: 0.48, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 5765, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 2516} 260.2648120280355 664.5593665726483 7.772423908114433 1286.599922780842 0.8502600000000002 693
[15] 9415 {index_type: FLAT, nlist: 128, nprobe: 7, m: 6, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 100, dataCoord*segment*sealProportion: 0.1, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 26625, dataNode*segment*insertBufSize: 1705160076, rootCoord*minSegmentSizeToEnableIndex: 100} 270.1728701069951 282.6034588199109 210.73208021745086 47.45361973213176 0.9998299999999999 516
[16] 10199 {index_type: IVF_FLAT, nlist: 1559, nprobe: 14, m: 6, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 100, dataCoord*segment*sealProportion: 0.04, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 20528, dataNode*segment*insertBufSize: 1369595049, rootCoord*minSegmentSizeToEnableIndex: 100} 279.25046756863594 744.0579818822443 14.834086833521724 674.1230594256892 0.9521799999999999 784
[17] 10699 {index_type: IVF_FLAT, nlist: 1028, nprobe: 13, m: 6, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 565, dataCoord*segment*sealProportion: 0.22, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 36339, dataNode*segment*insertBufSize: 2252032488, rootCoord*minSegmentSizeToEnableIndex: 906} 272.4705795235932 463.57927410304546 10.817494347691536 924.4284931966718 0.95095 499
[18] 11138 {index_type: IVF_SQ8, nlist: 1, nprobe: 1, m: 6, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 617, dataCoord*segment*sealProportion: 0.35, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 29234, dataNode*segment*insertBufSize: 1654347270, rootCoord*minSegmentSizeToEnableIndex: 967} 261.89344090409577 319.68974272347987 95.73613484762609 104.45376780581364 0.9649 438
[19] 11734 {index_type: IVF_PQ, nlist: 849, nprobe: 15, m: 6, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 756, dataCoord*segment*sealProportion: 0.28, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 100, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 2772} 266.66877998039126 447.67841335758567 123.98019441775978 80.65804418973819 0.0881 596
[20] 12528 {index_type: HNSW, nlist: 128, nprobe: 7, m: 6, nbits: 8, M: 35, efConstruction: 237, ef: 614, reorder_k: 500} {dataCoord*segment*maxSize: 627, dataCoord*segment*sealProportion: 0.5, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 16681, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 2420} 265.58130939491093 740.306413706392 30.407679000869393 328.86429772275903 0.99977 794
[21] 12917 {index_type: SCANN, nlist: 1, nprobe: 1, m: 6, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 1479, dataCoord*segment*sealProportion: 0.36, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 14113, dataNode*segment*insertBufSize: 311631709, rootCoord*minSegmentSizeToEnableIndex: 857} 261.76214225403965 347.90344941802323 18.640000320971012 536.4806774573634 0.9918800000000001 389
[22] 13564 {index_type: AUTOINDEX, nlist: 128, nprobe: 7, m: 6, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 241, dataCoord*segment*sealProportion: 0.42, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 12137, dataNode*segment*insertBufSize: 940027397, rootCoord*minSegmentSizeToEnableIndex: 2698} 268.809623753652 615.5349880643189 10.684873145073652 935.9025478566941 0.9228400000000001 647
[23] 14133 {index_type: IVF_FLAT, nlist: 719, nprobe: 10, m: 6, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 241, dataCoord*segment*sealProportion: 0.09, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 39804, dataNode*segment*insertBufSize: 2486590749, rootCoord*minSegmentSizeToEnableIndex: 413} 266.6591467168182 532.9085507038981 13.406446842476726 745.9097938102581 0.9444100000000001 568
[24] 14794 {index_type: IVF_SQ8, nlist: 1085, nprobe: 11, m: 6, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 107, dataCoord*segment*sealProportion: 0.09, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 43192, dataNode*segment*insertBufSize: 2641218444, rootCoord*minSegmentSizeToEnableIndex: 858} 272.439820388332 625.8077795486897 11.088451722636819 901.8391611504454 0.91527 661
[25] 15346 {index_type: IVF_PQ, nlist: 338, nprobe: 9, m: 8, nbits: 7, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 161, dataCoord*segment*sealProportion: 0.17, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 28569, dataNode*segment*insertBufSize: 1822572572, rootCoord*minSegmentSizeToEnableIndex: 675} 256.7766433041543 511.77434181421995 9.043186038732529 1105.8049626723787 0.08843999999999999 551
[26] 16197 {index_type: HNSW, nlist: 128, nprobe: 7, m: 6, nbits: 8, M: 26, efConstruction: 283, ef: 359, reorder_k: 500} {dataCoord*segment*maxSize: 559, dataCoord*segment*sealProportion: 0.47, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 18103, dataNode*segment*insertBufSize: 1662202715, rootCoord*minSegmentSizeToEnableIndex: 3185} 276.3596724681556 817.90955866687 9.309115102514625 1074.21595821699 0.9994 851
[27] 16832 {index_type: IVF_SQ8, nlist: 1188, nprobe: 10, m: 6, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 100, dataCoord*segment*sealProportion: 0.17, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 36265, dataNode*segment*insertBufSize: 1872703053, rootCoord*minSegmentSizeToEnableIndex: 583} 277.93994727917016 591.8816188406199 10.824248094111681 923.8516997259084 0.9084300000000001 634
[28] 17267 {index_type: IVF_PQ, nlist: 918, nprobe: 13, m: 6, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 1390, dataCoord*segment*sealProportion: 0.17, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 37558, dataNode*segment*insertBufSize: 2802133087, rootCoord*minSegmentSizeToEnableIndex: 846} 261.72644935548306 392.7099833022803 7.267356142401695 1376.0162298438327 0.09021 434
[29] 17952 {index_type: HNSW, nlist: 128, nprobe: 7, m: 6, nbits: 8, M: 25, efConstruction: 285, ef: 331, reorder_k: 500} {dataCoord*segment*maxSize: 2311, dataCoord*segment*sealProportion: 0.5, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 14716, dataNode*segment*insertBufSize: 1267696896, rootCoord*minSegmentSizeToEnableIndex: 3235} 259.2855769637972 649.9331553243101 9.223060866817832 1084.2387515816351 0.9983799999999999 685
[30] 18389 {index_type: SCANN, nlist: 140, nprobe: 12, m: 6, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 2285, dataCoord*segment*sealProportion: 0.49, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 16787, dataNode*segment*insertBufSize: 2677563863, rootCoord*minSegmentSizeToEnableIndex: 3310} 288.2839744389057 401.4994972907007 9.325040895491838 1072.3813559717971 0.96244 436
[31] 18886 {index_type: AUTOINDEX, nlist: 128, nprobe: 7, m: 6, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 100, dataCoord*segment*sealProportion: 0.51, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 1945, dataNode*segment*insertBufSize: 703484600, rootCoord*minSegmentSizeToEnableIndex: 3156} 270.75658031366765 466.4642378166318 7.785713499411941 1284.4037994405144 0.96268 496
[32] 19277 {index_type: IVF_SQ8, nlist: 1194, nprobe: 18, m: 6, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 1610, dataCoord*segment*sealProportion: 0.16, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 45455, dataNode*segment*insertBufSize: 2435101580, rootCoord*minSegmentSizeToEnableIndex: 905} 261.79379165917635 358.46974784880877 7.852997368201613 1273.3991278912224 0.9373500000000001 390
[33] 19688 {index_type: IVF_PQ, nlist: 39, nprobe: 23, m: 6, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 2671, dataCoord*segment*sealProportion: 0.19, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 36445, dataNode*segment*insertBufSize: 3210596227, rootCoord*minSegmentSizeToEnableIndex: 987} 271.84436086937785 366.66722849197686 17.632863901555538 567.1228483262903 0.04109 411
[34] 20348 {index_type: HNSW, nlist: 128, nprobe: 7, m: 6, nbits: 8, M: 26, efConstruction: 283, ef: 358, reorder_k: 500} {dataCoord*segment*maxSize: 1751, dataCoord*segment*sealProportion: 0.49, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 13980, dataNode*segment*insertBufSize: 633662013, rootCoord*minSegmentSizeToEnableIndex: 3135} 268.72248861193657 619.7483888883144 9.351269258186221 1069.3735496115537 0.9990899999999999 659
[35] 20717 {index_type: SCANN, nlist: 345, nprobe: 5, m: 6, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 2215, dataCoord*segment*sealProportion: 0.48, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 4856, dataNode*segment*insertBufSize: 134798688, rootCoord*minSegmentSizeToEnableIndex: 3323} 260.72677853889763 334.77466855943203 7.380382027477026 1354.9434111635665 0.8831600000000001 369
