[1] 798 {index_type: FLAT, nlist: 128, nprobe: 8, m: 8, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 512, dataCoord*segment*sealProportion: 0.23, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 5000, dataNode*segment*insertBufSize: 16777216, rootCoord*minSegmentSizeToEnableIndex: 1024} 370.8597101722844 384.00013608904555 395.5751882279292 25.279644167768257 0.99979 798
[2] 1353 {index_type: IVF_FLAT, nlist: 128, nprobe: 8, m: 8, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 512, dataCoord*segment*sealProportion: 0.23, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 5000, dataNode*segment*insertBufSize: 16777216, rootCoord*minSegmentSizeToEnableIndex: 1024} 367.6295055630617 506.77917232131585 28.27796194003895 353.63227453251983 0.9733400000000001 555
[3] 1826 {index_type: IVF_SQ8, nlist: 128, nprobe: 8, m: 8, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 512, dataCoord*segment*sealProportion: 0.23, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 5000, dataNode*segment*insertBufSize: 16777216, rootCoord*minSegmentSizeToEnableIndex: 1024} 370.92383300187066 437.62863566493616 15.48825416713953 645.6505615214128 0.9405700000000001 473
[4] 2433 {index_type: IVF_PQ, nlist: 128, nprobe: 8, m: 8, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 512, dataCoord*segment*sealProportion: 0.23, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 5000, dataNode*segment*insertBufSize: 16777216, rootCoord*minSegmentSizeToEnableIndex: 1024} 393.4816651507281 577.8483973979019 9.286304564215243 1076.8546229395686 0.08335 606
[5] 3534 {index_type: HNSW, nlist: 128, nprobe: 8, m: 8, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 512, dataCoord*segment*sealProportion: 0.23, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 5000, dataNode*segment*insertBufSize: 16777216, rootCoord*minSegmentSizeToEnableIndex: 1024} 368.81002361979336 1048.5899764518254 31.27299843961373 319.7646691700956 0.9996299999999999 1100
[6] 4175 {index_type: SCANN, nlist: 128, nprobe: 8, m: 8, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 512, dataCoord*segment*sealProportion: 0.23, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 5000, dataNode*segment*insertBufSize: 16777216, rootCoord*minSegmentSizeToEnableIndex: 1024} 405.0234882202931 612.4152362192981 8.345696893054992 1198.2222848665476 0.9686799999999999 640
[7] 5087 {index_type: AUTOINDEX, nlist: 128, nprobe: 8, m: 8, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 512, dataCoord*segment*sealProportion: 0.23, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 5000, dataNode*segment*insertBufSize: 16777216, rootCoord*minSegmentSizeToEnableIndex: 1024} 362.3091927142814 876.9072111062706 15.146515015978366 660.2178778056073 0.88685 912
[8] 6122 {index_type: FLAT, nlist: 128, nprobe: 7, m: 6, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 9905, dataCoord*segment*sealProportion: 0.76, queryCoord*autoHandoff: True, queryCoord*autoBalance: False, common*gracefulTime: 88183, dataNode*segment*insertBufSize: 7526631602, rootCoord*minSegmentSizeToEnableIndex: 7839} 0 0 0 25.279644167768257 0.08335 1035
[9] 7021 {index_type: IVF_FLAT, nlist: 58, nprobe: 4, m: 6, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 100, dataCoord*segment*sealProportion: 0.04, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 239, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 152} 386.4082573251799 795.6161820581183 68.6640042620711 145.63671471638656 0.9485300000000001 899
[10] 7901 {index_type: IVF_SQ8, nlist: 1, nprobe: 1, m: 6, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 100, dataCoord*segment*sealProportion: 0.3, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 100, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 100} 376.4543915167451 500.4903249638155 356.9336129841395 28.016414358947905 0.9634500000000001 880
[11] 9072 {index_type: IVF_PQ, nlist: 1, nprobe: 1, m: 6, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 100, dataCoord*segment*sealProportion: 0.21, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 100, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 1481} 386.70219080895185 903.8347486830316 241.88038151804358 41.342749408777614 0.03553 1170
