[1] 1057 {index_type: FLAT, nlist: 128, nprobe: 10, m: 8, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 512, dataCoord*segment*sealProportion: 0.23, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 5000, dataNode*segment*insertBufSize: 16777216, rootCoord*minSegmentSizeToEnableIndex: 1024} 543.7010729159956 558.847721195998 477.7390006209971 20.931931424902157 0.99975 1057
[2] 1919 {index_type: IVF_FLAT, nlist: 128, nprobe: 10, m: 8, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 512, dataCoord*segment*sealProportion: 0.23, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 5000, dataNode*segment*insertBufSize: 16777216, rootCoord*minSegmentSizeToEnableIndex: 1024} 548.3278689440049 786.041138902001 56.74767245299881 176.21868118525015 0.98355 861
[3] 2585 {index_type: IVF_SQ8, nlist: 128, nprobe: 10, m: 8, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 512, dataCoord*segment*sealProportion: 0.23, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 5000, dataNode*segment*insertBufSize: 16777216, rootCoord*minSegmentSizeToEnableIndex: 1024} 524.2060802589986 622.7933950019942 23.14136389199848 432.12664761983496 0.9469700000000001 666
[4] 3429 {index_type: IVF_PQ, nlist: 128, nprobe: 10, m: 8, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 512, dataCoord*segment*sealProportion: 0.23, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 5000, dataNode*segment*insertBufSize: 16777216, rootCoord*minSegmentSizeToEnableIndex: 1024} 523.8854575419973 813.9478538409967 9.9509384960038 1004.9303393861696 0.07268000000000001 843
[5] 5001 {index_type: HNSW, nlist: 128, nprobe: 10, m: 8, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 512, dataCoord*segment*sealProportion: 0.23, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 5000, dataNode*segment*insertBufSize: 16777216, rootCoord*minSegmentSizeToEnableIndex: 1024} 500.5070086179985 1516.4912474769953 34.429465035995236 290.44889281739415 0.9996200000000001 1571
[6] 5891 {index_type: SCANN, nlist: 128, nprobe: 10, m: 8, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 512, dataCoord*segment*sealProportion: 0.23, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 5000, dataNode*segment*insertBufSize: 16777216, rootCoord*minSegmentSizeToEnableIndex: 1024} 534.8152735600015 857.7618851599982 10.635653060002369 940.2337537322577 0.97706 890
[7] 7274 {index_type: AUTOINDEX, nlist: 128, nprobe: 10, m: 8, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 512, dataCoord*segment*sealProportion: 0.23, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 5000, dataNode*segment*insertBufSize: 16777216, rootCoord*minSegmentSizeToEnableIndex: 1024} 547.3617802200024 1346.0717799770064 12.955750537992571 771.8580232519242 0.8901300000000001 1382
[8] 8503 {index_type: FLAT, nlist: 128, nprobe: 8, m: 6, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 9905, dataCoord*segment*sealProportion: 0.76, queryCoord*autoHandoff: True, queryCoord*autoBalance: False, common*gracefulTime: 88183, dataNode*segment*insertBufSize: 7526631602, rootCoord*minSegmentSizeToEnableIndex: 7839} 0 0 0 20.931931424902157 0.07268000000000001 1229
[9] 9877 {index_type: IVF_FLAT, nlist: 112, nprobe: 3, m: 6, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 100, dataCoord*segment*sealProportion: 0.04, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 107, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 109} 552.3615557439916 1146.9129666289955 192.830750936002 51.85894859331263 0.89685 1374
[10] 10882 {index_type: IVF_SQ8, nlist: 1266, nprobe: 88, m: 6, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 301, dataCoord*segment*sealProportion: 0.3, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 3919, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 1264} 550.276747048003 948.4786272140045 28.34472685599758 352.79930728575914 0.9624400000000002 1004
[11] 11913 {index_type: IVF_PQ, nlist: 1, nprobe: 1, m: 6, nbits: 7, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 242, dataCoord*segment*sealProportion: 0.22, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 6056, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 2869} 576.854923167004 849.7103537319927 154.58556287598913 64.68909394871596 0.0212 1031
