[1] 95 {index_type: FLAT, nlist: 128, nprobe: 8, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 512, dataCoord*segment*sealProportion: 0.23, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 5000, dataNode*segment*insertBufSize: 16777216, rootCoord*minSegmentSizeToEnableIndex: 1024} 34.50229533202946 42.601052032085136 33.36219848995097 299.7404383590638 1.0 95
[2] 171 {index_type: IVF_FLAT, nlist: 128, nprobe: 8, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 512, dataCoord*segment*sealProportion: 0.23, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 5000, dataNode*segment*insertBufSize: 16777216, rootCoord*minSegmentSizeToEnableIndex: 1024} 32.969227919122204 48.61060724616982 8.669025905197486 1153.5321395226806 0.85641 76
[3] 244 {index_type: IVF_SQ8, nlist: 128, nprobe: 8, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 512, dataCoord*segment*sealProportion: 0.23, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 5000, dataNode*segment*insertBufSize: 16777216, rootCoord*minSegmentSizeToEnableIndex: 1024} 29.784234127029777 41.91040666215122 12.293329932028428 813.4492489253461 0.84595 72
[4] 321 {index_type: IVF_PQ, nlist: 128, nprobe: 8, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 512, dataCoord*segment*sealProportion: 0.23, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 5000, dataNode*segment*insertBufSize: 16777216, rootCoord*minSegmentSizeToEnableIndex: 1024} 32.48737979307771 50.645005374914035 7.287361952010542 1372.2386874499978 0.21464000000000005 76
[5] 432 {index_type: HNSW, nlist: 128, nprobe: 8, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 512, dataCoord*segment*sealProportion: 0.23, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 5000, dataNode*segment*insertBufSize: 16777216, rootCoord*minSegmentSizeToEnableIndex: 1024} 34.38595974515192 82.81657691509463 10.284470076905563 972.3398410634342 0.9904200000000001 110
[6] 508 {index_type: SCANN, nlist: 128, nprobe: 8, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 512, dataCoord*segment*sealProportion: 0.23, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 5000, dataNode*segment*insertBufSize: 16777216, rootCoord*minSegmentSizeToEnableIndex: 1024} 32.384135473985225 51.55227812589146 7.16005879198201 1396.63657667144 0.85439 76
[7] 604 {index_type: AUTOINDEX, nlist: 128, nprobe: 8, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 512, dataCoord*segment*sealProportion: 0.23, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 5000, dataNode*segment*insertBufSize: 16777216, rootCoord*minSegmentSizeToEnableIndex: 1024} 34.096742511028424 68.91937258699909 8.121208015130833 1231.3439061490287 0.65664 95
[8] 714 {index_type: FLAT, nlist: 128, nprobe: 7, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 9905, dataCoord*segment*sealProportion: 0.76, queryCoord*autoHandoff: True, queryCoord*autoBalance: False, common*gracefulTime: 88183, dataNode*segment*insertBufSize: 7526631602, rootCoord*minSegmentSizeToEnableIndex: 7839} 32.8270390140824 47.46223355992697 43.3107617769856 230.88949696825196 1.0 110
[9] 917 {index_type: IVF_FLAT, nlist: 130, nprobe: 8, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 122, dataCoord*segment*sealProportion: 0.02, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 106, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 297} 36.454270652960986 77.78930674097501 103.60280994698405 96.52247854201282 0.8567400000000002 202
[10] 1003 {index_type: IVF_SQ8, nlist: 975, nprobe: 15, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 1638, dataCoord*segment*sealProportion: 0.29, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 6108, dataNode*segment*insertBufSize: 1838663142, rootCoord*minSegmentSizeToEnableIndex: 1313} 32.607047034893185 56.50193997682072 9.494907659012824 1053.196129875758 0.79373 86
[11] 1087 {index_type: IVF_PQ, nlist: 1, nprobe: 1, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 384, dataCoord*segment*sealProportion: 0.36, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 8284, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 1465} 32.40124823199585 50.56122292694636 10.861358736874536 920.6951213249034 0.19923000000000002 83
[12] 1216 {index_type: HNSW, nlist: 128, nprobe: 7, m: 10, nbits: 8, M: 31, efConstruction: 255, ef: 499, reorder_k: 500} {dataCoord*segment*maxSize: 2693, dataCoord*segment*sealProportion: 0.24, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 4114, dataNode*segment*insertBufSize: 2025743030, rootCoord*minSegmentSizeToEnableIndex: 1158} 33.64753847615793 93.487833495019 10.409056530799717 960.7018628836009 0.97746 129
[13] 1314 {index_type: SCANN, nlist: 1521, nprobe: 23, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 499} {dataCoord*segment*maxSize: 1284, dataCoord*segment*sealProportion: 0.24, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 5169, dataNode*segment*insertBufSize: 1391646381, rootCoord*minSegmentSizeToEnableIndex: 1144} 33.94786213710904 68.70013845106587 6.8662840879987925 1456.3918229772141 0.82278 97
[14] 1408 {index_type: AUTOINDEX, nlist: 128, nprobe: 7, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 330, dataCoord*segment*sealProportion: 0.24, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 5022, dataNode*segment*insertBufSize: 2833330751, rootCoord*minSegmentSizeToEnableIndex: 1033} 29.262872762978077 65.60309106507339 7.0821209389250726 1412.0063871032685 0.68534 94
[15] 1520 {index_type: FLAT, nlist: 128, nprobe: 7, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 1128, dataCoord*segment*sealProportion: 0.25, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 5016, dataNode*segment*insertBufSize: 2879005786, rootCoord*minSegmentSizeToEnableIndex: 1122} 29.713589721824974 44.84401372494176 43.63771084113978 229.15959172112267 1.0 111
[16] 1620 {index_type: IVF_FLAT, nlist: 1764, nprobe: 24, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 2151, dataCoord*segment*sealProportion: 0.26, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 5292, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 1226} 33.601185526000336 69.73707118397579 7.306181481108069 1368.704024921563 0.8220099999999999 100
[17] 1741 {index_type: IVF_FLAT, nlist: 3242, nprobe: 32, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 432, dataCoord*segment*sealProportion: 0.29, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 6542, dataNode*segment*insertBufSize: 924564762, rootCoord*minSegmentSizeToEnableIndex: 1350} 32.48569585592486 87.85654421895742 7.446476454846561 1342.9170239961575 0.81762 120
